City,Country,Subcountry,Geonameid
Bathgate,United Kingdom,Scotland,2656169
Bathurst,Australia,New South Wales,2176632
Batikent,Turkey,Ankara,442301
Batley,United Kingdom,England,2656168
Batman,Turkey,Batman,321836
Batna,Algeria,Batna,2505572
Bato,Philippines,Bicol,1726156
Baton Rouge,United States,Louisiana,4315588
Batouri,Cameroon,East,2234663
Battambang,Cambodia,Battambang,1831797
Battaramulla South,Sri Lanka,Western,1250164
Battersea,United Kingdom,England,6690602
Batticaloa,Sri Lanka,Eastern Province,1250161
Battipaglia,Italy,Campania,3182272
Battle Creek,United States,Michigan,4985153
Battle Ground,United States,Washington,5786485
Batu,Indonesia,East Java,1649824
Batu Arang,Malaysia,Selangor,1732893
Batu Berendam,Malaysia,Melaka,1780890
Batu Gajah,Malaysia,Perak,1735268
Batu Pahat,Malaysia,Johor,1732687
Batumi,Georgia,Ajaria,615532
Baturaden,Indonesia,Central Java,1649595
Baturaja,Indonesia,South Sumatra,1649593
Bauan,Philippines,Calabarzon,1725991
Bauang,Philippines,Ilocos,1725983
Baucau,East Timor,Baucau,1649539
Bauchi,Nigeria,Bauchi,2347470
Bauda,India,Odisha,1276686
Baulkham Hills,Australia,New South Wales,2176592
Baumschulenweg,Germany,Berlin,2951935
Baunatal,Germany,Hesse,2951923
Bauru,Brazil,São Paulo,3470279
Bauta,Cuba,Artemisa,3567612
Bautzen,Germany,Saxony,2951881
Bavly,Russia,Tatarstan,578638
Bawku,Ghana,Upper East,2303287
Bawshar,Oman,Muḩāfaz̧at Masqaţ,288764
Bay,Philippines,Calabarzon,1725919
Bay City,United States,Michigan,4985180
Bay Point,United States,California,5326561
Bay Shore,United States,New York,5108169
Bay Village,United States,Ohio,5146675
Bayaguana,Dominican Republic,Monte Plata,3511626
Bayambang,Philippines,Ilocos,1725863
Bayamo,Cuba,Granma,3567597
Bayan,China,Heilongjiang Sheng,2038421
Bayanhongor,Mongolia,Bayanhongor,2032532
Bayanhongor,Mongolia,Bayanhongor,2032533
Bayawan,Philippines,Central Visayas,1725804
Baybay,Philippines,Eastern Visayas,1725799
Bayburt,Turkey,Bayburt,750938
Bayeux,France,Normandy,3034483
Bayeux,Brazil,Paraíba,3405940
Baykonyr,Kazakhstan,Bayqongyr Qalasy,1521368
Baymak,Russia,Bashkortostan,578534
Baynjiwayn,Iraq,As Sulaymānīyah,98012
Bayombong,Philippines,Cagayan Valley,1725729
Bayonet Point,United States,Florida,4146901
Bayonne,France,Aquitaine-Limousin-Poitou-Charentes,3034475
Bayonne,United States,New Jersey,5095445
Bayou Cane,United States,Louisiana,4315768
Bayramaly,Turkmenistan,Mary,1219762
Bayreuth,Germany,Bavaria,2951825
Bayshore Gardens,United States,Florida,4146934
Bayside,United States,California,5559320
Bayswater,United Kingdom,England,6545243
Baytown,United States,Texas,4672731
Bayugan,Philippines,Caraga,1725684
Baza,Spain,Andalusia,2521215
Bazar-Korgon,Kyrgyzstan,Jalal-Abad,1528717
Beacon,United States,New York,5108219
Beaconsfield,Canada,Quebec,5895650
Bealanana,Madagascar,Sofia,1068670
Bear,United States,Delaware,4141363
Bearsden,United Kingdom,Scotland,2656086
Beaufort,Malaysia,Sabah,1733874
Beaufort West,South Africa,Western Cape,1020641
Beaumont,United States,Texas,4672989
Beaumont,United States,California,5327098
Beaune,France,Bourgogne-Franche-Comté,3034126
Beauvais,France,Nord-Pas-de-Calais-Picardie,3034006
Beaver Dam,United States,Wisconsin,5245193
Beavercreek,United States,Ohio,4506008
Beaverton,United States,Oregon,5713376
Bebedouro,Brazil,São Paulo,3470264
Beberibe,Brazil,Ceará,3405924
Bebington,United Kingdom,England,2656070
Beckenham,United Kingdom,England,2656065
Beckingen,Germany,Saarland,2951679
Beckum,Germany,North Rhine-Westphalia,2951654
Becontree,United Kingdom,England,6690870
Bedburg,Germany,North Rhine-Westphalia,2951648
Bedford,United Kingdom,England,2656046
Bedford,United States,Texas,4673094
Bedford,United States,New Hampshire,5083221
Bedi,India,Gujarat,1276627
Bedlington,United Kingdom,England,2656039
Bedong,Malaysia,Kedah,1734439
Bedworth,United Kingdom,England,2656031
Beek,Netherlands,Limburg,2759350
Beerse,Belgium,Flanders,2802435
Beersel,Belgium,Flanders,2802433
Beersheba,Israel,Southern District,295530
Begamganj,India,Madhya Pradesh,1276621
Begoro,Ghana,Eastern,2303236
Begusarai,India,Bihar,1276609
Behat,India,Uttar Pradesh,1276600
Behror,India,Rajasthan,1276589
Behshahr,Iran,Māzandarān,140918
Beibei,China,Chongqing Shi,1816790
Beichengqu,China,Inner Mongolia,2037391
Beidaihehaibin,China,Hebei,1816753
Beidao,China,Gansu Sheng,1816751
Beihai,China,Guangxi Zhuangzu Zizhiqu,1816705
Beijing,China,Beijing,1816670
Beipiao,China,Liaoning,2038342
Beira,Mozambique,Sofala,1052373
Beirut,Lebanon,Beyrouth,276781
Beitbridge,Zimbabwe,Matabeleland South,895269
Beja,Portugal,Beja,2270985
Bejucal,Cuba,Mayabeque,3567546
Bekalta,Tunisia,Al Munastīr,2473826
Bekasi,Indonesia,West Java,1649378
Bekobod,Uzbekistan,Toshkent,1514402
Bektemir,Uzbekistan,Toshkent Shahri,1514396
Bel Air North,United States,Maryland,7257991
Bel Air South,United States,Maryland,7257992
Bela,Pakistan,Balochistān,1182998
Bela,India,Uttar Pradesh,1276574
Bela Vista,Brazil,Mato Grosso do Sul,3470177
Belalcazar,Colombia,Cauca,3673398
Belas,Portugal,Lisbon,2270981
Belawan,Indonesia,North Sumatra,1215412
Belaya Glina,Russia,Krasnodarskiy,578169
Belaya Kalitva,Russia,Rostov,578155
Belebey,Russia,Bashkortostan,578120
Beledweyne,Somalia,Hiiraan,64460
Belek,Turkey,Antalya,321580
Belen,Turkey,Hatay,321572
Belfast,United Kingdom,Northern Ireland,2655984
Belford Roxo,Brazil,Rio de Janeiro,3470142
Belfort,France,Bourgogne-Franche-Comté,3033791
Belgaum,India,Karnataka,1276533
Belgorod,Russia,Belgorod,578072
Belgrade,Serbia,Central Serbia,792680
Beli,Nigeria,Taraba,2347330
Belidzhi,Russia,Dagestan,828055
Belize City,Belize,Belize,3582677
Bell,United States,California,5327298
Bell Gardens,United States,California,5327319
Bella Vista,Dominican Republic,Nacional,3511550
Bella Vista,United States,Arkansas,4101114
Bellaire,United States,Texas,4673353
Bellampalli,India,Telangana,7302806
Bellaria-Igea Marina,Italy,Emilia-Romagna,8224092
Bellary,India,Karnataka,1276509
Bellavista,Peru,San Martín,3699364
Belle Glade,United States,Florida,4147241
Bellechasse Regional County Municipality,Canada,Quebec,7302647
Belleville,United States,Illinois,4233813
Belleville,United States,New Jersey,5095549
Belleville,Canada,Ontario,5897884
Bellevue,United States,Nebraska,5063805
Bellevue,United States,Washington,5786882
Bellflower,United States,California,5327422
Bellingham,United States,Washington,5786899
Bellinzona,Switzerland,Ticino,2661567
Bellmore,United States,New York,5108707
Bello,Colombia,Antioquia,3688928
Bellshill,United Kingdom,Scotland,2655952
Belluno,Italy,Veneto,3182210
Bellview,United States,Florida,4147290
Bellwood,United States,Illinois,4884434
Belmont,United States,Massachusetts,4930282
Belmont,United States,California,5327455
Belmopan,Belize,Cayo,3582672
Belo Horizonte,Brazil,Minas Gerais,3470127
Belo Jardim,Brazil,Pernambuco,3405812
Belo Oriente,Brazil,Minas Gerais,3470117
Belo sur Tsiribihina,Madagascar,Menabe,1067531
Beloeil,Canada,Quebec,5898138
Belogorsk,Russia,Amur,2026895
Beloha,Madagascar,Androy,1067565
Beloit,United States,Wisconsin,5245387
Belonia,India,Tripura,1276502
Belorechensk,Russia,Krasnodarskiy,577893
Beloretsk,Russia,Bashkortostan,577881
Belovo,Russia,Kemerovo,1510469
Beloyarskiy,Russia,Khanty-Mansiyskiy Avtonomnyy Okrug,1510450
Belpasso,Italy,Sicily,2525571
Belper,United Kingdom,England,2655942
Belsand,India,Bihar,1276495
Belton,United States,Missouri,4376482
Belton,United States,Texas,4673425
Beltsville,United States,Maryland,4348353
Belvedere Park,United States,Georgia,4181936
Belvidere,United States,Illinois,4884453
Bemowo,Poland,Masovian Voivodeship,776251
Ben Arous,Tunisia,Bin ‘Arūs,2472479
Ben Mehidi,Algeria,El Tarf,2504486
Benavente,Spain,Castille and León,3128291
Benbrook,United States,Texas,4673482
Bend,United States,Oregon,5713587
Bende,Nigeria,Abia,2347303
Bender,Moldova,Bender,618577
Bendigo,Australia,Victoria,2176187
Bendorf,Germany,Rheinland-Pfalz,2951111
Benevento,Italy,Campania,3182179
