,city,country,lat,lon,temp,hum,cloud,wind
210,Munkebo,DK,55.46,10.56,53.19,81,77,15.14
211,Achkhoy-Martan,RU,43.19,45.28,51.26,36,0,4.47
212,Băile Olăneşti,RO,45.2,24.23,51.8,100,75,3.36
213,Severnyy,RU,50.68,36.55,53.6,87,100,6.71
214,Bazhovo,RU,55.06,61.61,35.6,100,75,11.18
215,Coylton,GB,55.45,-4.52,50.0,76,75,5.82
216,Ittre,BE,50.64,4.26,57.69,88,95,20.27
217,Negara,ID,-8.32,114.6,77.25,87,73,3.71
218,Jitaúna,BR,-14.02,-39.89,88.21,42,77,5.91
219,Manika,PH,11.39,122.28,74.75,85,100,2.68
220,La Solana,ES,38.94,-3.24,57.43,69,0,3.0
221,Carlet,ES,39.23,-0.52,68.81,48,0,1.99
222,Mayuge,UG,0.46,33.48,68.43,81,31,1.57
223,Fredensborg,DK,55.98,12.4,47.59,91,73,1.01
224,Muslyumovo,RU,55.3,53.19,47.28,85,94,10.83
225,Swāmimalai,IN,10.95,79.33,78.31,81,77,5.79
226,Cuauhtémoc,MX,28.42,-106.87,73.99,24,1,8.99
227,Untsukul',RU,42.71,46.79,59.0,43,0,1.68
228,Sémbé,CG,1.65,14.58,73.29,93,100,1.16
229,Utrān,IN,21.23,72.87,78.55,48,35,2.13
230,Moctezuma,MX,29.8,-109.67,85.03,30,3,5.86
231,Tara,RU,56.89,74.37,25.63,87,24,9.57
232,Drahovo,UA,48.24,23.55,55.4,87,100,1.12
233,Brixen,IT,46.72,11.66,49.03,87,75,1.12
234,Natori,JP,38.17,140.88,52.0,65,17,8.59
235,Ondoy,PH,11.82,122.13,79.14,84,100,5.97
236,Granard,IE,53.77,-7.5,42.24,89,60,10.0
237,Rende,IT,39.33,16.18,68.0,77,100,5.82
238,Doba,TD,8.65,16.85,80.55,54,63,1.3
239,Champerico,GT,14.3,-91.92,86.0,74,40,9.17
240,Staraya Russa,RU,57.99,31.36,41.29,90,96,3.24
241,Oranjestad,AW,12.52,-70.03,87.8,70,20,16.11
242,Caimito,CO,8.81,-75.41,85.39,73,71,5.46
243,Brus,RS,43.38,21.03,57.2,100,0,0.38
244,Bagnols-sur-Cèze,FR,44.16,4.62,56.95,72,0,3.36
245,Paringao,PH,16.57,120.32,79.27,79,100,4.32
246,Kalakamati,BW,-20.59,27.31,84.2,32,0,5.82
247,Orange,US,33.7,-117.77,66.99,64,90,4.18
248,Gamprin,LI,47.22,9.51,48.2,88,45,2.91
249,Shiki,JP,35.83,139.58,55.27,93,1,3.36
250,Batangas,PH,13.76,121.06,77.56,83,100,3.94
251,Umbuzeiro,BR,-7.7,-35.66,81.52,56,39,14.63
252,Martapura,ID,-3.42,114.85,77.0,100,90,8.05
253,Independenţa,RO,45.48,27.75,63.82,40,100,5.97
254,Cauayan,PH,9.97,122.62,78.49,86,100,5.39
255,Gummersbach,DE,51.03,7.55,54.55,84,95,7.0
256,Saint Petersburg,RU,59.89,30.26,39.49,82,40,6.71
257,Paralia,GR,38.2,21.7,57.6,88,0,5.77
258,Leesburg,US,39.12,-77.56,67.62,82,75,5.82
259,Blagodarnyy,RU,45.1,43.44,58.71,44,17,2.19
260,Caher,IE,52.38,-7.92,47.62,77,62,1.01
261,Beppu,JP,33.27,131.49,37.99,83,0,4.76
262,Jhajha,IN,24.77,86.37,74.07,55,0,3.0
263,Şomcuta Mare,RO,47.52,23.47,55.4,87,100,1.12
264,Villanueva,HN,15.32,-88.0,90.28,59,75,4.7
265,Mărtineşti,RO,45.82,23.13,56.39,82,99,1.1
266,Las Vegas,US,36.17,-115.14,66.85,24,1,5.82
267,Norashen,AM,40.0,44.59,55.4,47,13,3.36
268,União,BR,-4.59,-42.86,98.6,32,40,5.82
269,Concepción,CL,-36.83,-73.05,53.6,81,90,9.17
270,Santa Rita,BR,-7.11,-34.98,86.0,62,20,16.11
271,Ravensburg,DE,47.78,9.62,49.14,93,7,2.24
272,Chontalpa,MX,17.7,-93.52,81.59,83,22,10.71
273,Suzdal,RU,56.43,40.44,42.89,83,100,5.08
274,Braniştea,RO,44.68,25.58,57.88,87,100,1.12
275,Villabate,IT,38.08,13.44,66.45,69,83,8.99
276,Bayburt,TR,40.26,40.23,48.6,47,3,1.41
277,São João de Ver,PT,40.96,-8.55,60.98,82,75,17.22
278,Le Vésinet,FR,48.89,2.13,59.29,82,90,13.87
279,Nishihara,JP,26.18,127.76,67.03,56,75,3.36
280,Chornoliztsi,UA,48.83,24.9,57.2,82,75,5.12
281,Rahā,IN,26.23,92.52,70.93,96,57,6.76
282,Grahamstown,ZA,-33.3,26.53,61.16,90,1,5.03
283,Beaverton,US,45.49,-122.8,46.8,87,90,9.17
284,Iralaya,HN,15.0,-83.23,80.8,83,100,4.54
285,Leopoldina,BR,-21.53,-42.64,69.01,99,100,5.06
286,Hidrolândia,BR,-4.41,-40.44,97.95,28,63,7.25
287,Jocón,HN,15.28,-86.97,87.8,66,75,8.05
288,Aku,NG,6.71,7.32,75.4,88,91,1.45
289,Telica,NI,12.52,-86.86,84.2,79,40,4.7
290,Guderup,DK,54.99,9.87,52.93,87,91,3.36
291,Sassenheim,NL,52.23,4.52,58.57,87,75,16.11
292,Minggang,CN,32.46,114.05,53.64,56,12,2.42
293,Tourcoing,FR,50.72,3.15,59.7,87,90,18.34
294,Nice,FR,43.7,7.27,59.81,77,0,2.24
295,Villavieja,ES,39.85,-0.18,70.5,40,0,8.05
296,Morong,PH,14.51,121.24,77.86,94,90,2.24
297,Navalmoral de la Mata,ES,39.89,-5.54,60.01,61,11,7.0
298,Antsirabe,MG,-19.85,47.03,58.53,81,5,5.91
299,Krasnoarmeyskiy,RU,47.01,42.21,56.79,84,100,7.85
300,Tasco,CO,5.91,-72.78,63.57,68,76,3.83
301,Tūkrah,LY,32.53,20.58,70.74,62,0,7.63
302,Hebi,CN,35.9,114.19,56.07,38,89,7.09
303,Hille,DE,52.33,8.75,57.6,67,93,14.99
304,Banning,US,33.93,-116.88,61.3,1,100,8.81
305,Eisenach,DE,50.98,10.32,57.99,69,77,5.01
306,Nanuet,US,41.09,-74.01,65.71,90,99,1.99
307,Rikitea,PF,-23.12,-134.97,74.7,82,94,22.88
308,Clane,IE,53.29,-6.69,47.14,87,20,13.87
309,Huldenberg,BE,50.79,4.58,58.41,87,97,18.34
310,Murayama,JP,38.52,140.33,46.99,77,54,8.68
311,Onhaye,BE,50.24,4.84,56.52,93,99,16.11
312,Karamsad,IN,22.55,72.9,78.8,50,20,3.36
313,Carberry,CA,49.87,-99.36,24.8,62,90,8.05
314,Newberry,US,34.27,-81.62,78.78,61,40,3.4
315,Gyönk,HU,46.56,18.48,55.78,93,90,6.4
316,Crepaja,RS,45.01,20.64,57.2,100,40,4.7
317,Pocrí,PA,8.27,-80.55,85.01,77,59,13.18
318,Shin’ichi,JP,34.55,133.27,43.0,94,0,3.11
319,Castro Urdiales,ES,43.38,-3.22,65.73,52,20,9.17
320,Lockerbie,GB,55.12,-3.36,45.18,100,100,8.05
321,Macedonia,US,41.31,-81.51,45.57,75,94,1.01
322,Kugul'ta,RU,45.36,42.39,51.58,70,0,4.47
323,Telafas,PH,6.64,124.97,73.87,88,100,1.7
324,Il’inskiy,RU,55.62,38.12,50.0,76,75,4.47
325,Chlumec nad Cidlinou,CZ,50.15,15.46,51.93,81,0,5.82
326,Catolé do Rocha,BR,-6.34,-37.75,97.21,24,18,10.47
327,Carroll,US,39.55,-77.02,68.43,81,54,1.99
328,Dachau,DE,48.26,11.43,48.69,93,0,5.82
329,Linnich,DE,50.98,6.27,57.99,72,76,11.99
330,Tondod,PH,15.72,120.97,74.53,91,100,2.42
331,Bruchköbel,DE,50.18,8.92,57.69,69,77,3.0
332,Pamplonita,CO,7.44,-72.64,89.58,43,40,21.92
333,Gourcy,BF,13.22,-2.35,87.31,12,20,6.13
334,Liseleje,DK,56.01,11.95,48.67,100,79,13.73
335,Kuala Pilah,MY,2.74,102.25,79.36,83,20,2.24
336,Shetpe,KZ,44.17,52.12,54.64,79,79,15.52
337,Chak Five Hundred Seventy-five,PK,31.55,73.83,73.4,56,0,3.78
338,Lucerne,CH,47.05,8.31,51.22,87,12,2.24
339,Gullane,GB,56.04,-2.83,48.69,77,100,3.0
340,Lincolnwood,US,42.0,-87.73,44.51,52,40,5.82
341,Santo Antônio do Sudoeste,BR,-26.07,-53.73,76.44,66,61,4.03
342,Meliti,GR,40.83,21.58,61.75,44,100,4.7
343,Saint-Paul-lès-Dax,FR,43.73,-1.05,59.88,67,34,2.24
344,Harlingen,US,26.19,-97.7,68.97,64,90,12.75
345,Alandi,IN,18.67,73.9,73.81,81,61,5.23
346,Usol'ye,RU,59.43,56.68,28.99,92,100,7.14
347,Villarrubia de los Ojos,ES,39.22,-3.61,58.98,68,0,9.1
348,Galeras,CO,9.16,-75.05,86.04,71,94,6.02
349,New Castle,US,41.0,-80.35,47.07,70,90,6.93
350,Monterey Park,US,34.06,-118.12,66.49,72,90,3.98
351,Risør,NO,58.72,9.23,52.0,90,99,7.0
352,Štěpánov,CZ,49.68,17.22,48.07,99,21,1.59
353,Adoni,IN,15.63,77.28,76.66,73,2,2.26
354,Chimoré,BO,-16.98,-65.13,100.31,30,49,5.14
355,Castelnau-le-Lez,FR,43.63,3.9,62.6,77,0,13.87
356,Pawing,PH,11.18,125.0,77.95,87,99,6.55
357,Lerwick,GB,60.15,-1.15,50.0,81,100,16.11
358,Arrondissement de Privas,FR,44.58,4.5,55.0,78,1,2.46
359,Balading,PH,13.39,123.71,80.26,82,100,5.41
360,Buctzotz,MX,21.2,-88.78,87.01,66,40,9.17
361,La Ferté-Bernard,FR,48.19,0.65,58.19,87,75,12.75
362,Sunzha,RU,43.32,45.05,50.61,65,0,4.47
363,Montfermeil,FR,48.9,2.57,60.53,77,90,18.34
364,Macaracas,PA,7.73,-80.55,79.77,82,65,8.52
365,Chachapoyas,PE,-6.23,-77.87,67.17,68,59,2.73
366,Bălăciţa,RO,44.38,23.13,58.23,82,0,3.36
367,Leon Valley,US,29.5,-98.62,60.51,55,90,3.36
368,Lesosibirsk,RU,58.24,92.48,27.34,95,44,5.86
369,Nokia,FI,61.47,23.5,35.82,93,0,1.12
370,Velika Gorica,HR,45.71,16.08,57.11,100,90,1.12
371,Kocs,HU,47.61,18.22,54.84,100,99,3.27
372,Mingora,PK,34.78,72.36,59.68,33,0,5.75
373,Mogoşeşti-Siret,RO,47.13,26.78,57.0,84,100,3.22
374,Beloeil,CA,45.57,-73.2,49.14,57,20,9.17
375,Syzran',RU,53.16,48.47,50.88,74,67,7.92
376,Lajosmizse,HU,47.02,19.56,55.2,93,90,6.93
377,Charleston,US,32.78,-79.93,79.61,74,40,4.7
378,Ardmore,US,34.17,-97.14,50.36,53,40,6.93
379,Testour,TN,36.55,9.44,69.8,60,40,6.93
380,Santa Filomena,PH,9.75,123.34,79.14,82,100,6.31
381,Luga,RU,58.74,29.85,38.8,90,100,3.69
382,Davidson,US,36.15,-86.78,52.5,81,90,6.93
383,Nyírkarász,HU,48.1,22.1,56.28,70,100,5.82
384,Teresina,BR,-5.09,-42.8,98.6,32,40,5.82
385,Judaberg,NO,59.17,5.87,50.36,87,75,19.46
386,Guča,RS,43.78,20.23,53.64,100,0,2.1
387,Krasnogorskoye,RU,52.3,86.2,26.04,91,63,7.31
388,Grudziądz,PL,53.48,18.75,51.39,89,64,5.99
389,Tepexpan,MX,18.75,-97.15,68.04,39,35,7.07
390,Waldheim,DE,51.07,13.02,51.22,89,9,10.13
391,Thyolo,MW,-16.07,35.14,71.65,51,54,5.08
392,Arvada,US,39.8,-105.09,51.08,69,75,4.7
393,Kosai,JP,34.71,137.53,55.67,76,1,5.99
394,Ternuvate,UA,47.83,36.13,55.4,87,100,4.52
395,Oteşani,RO,45.07,24.03,56.57,59,100,3.42
396,Herbeumont,BE,49.78,5.24,52.66,98,100,5.01
397,Rincón de Romos,MX,22.23,-102.3,77.0,15,5,13.87
398,Tagbac,PH,7.09,125.16,77.0,100,75,2.37
399,Novovasylivka,UA,46.83,35.75,62.69,74,100,7.23
400,Igrim,RU,63.19,64.42,26.06,92,100,8.34
401,Nariño,CO,5.61,-75.18,69.78,60,75,4.7
402,Ābyek,IR,36.07,50.55,56.37,38,0,4.7
403,Townhill,GB,56.08,-3.43,48.38,76,0,5.82
404,Queimadas,BR,-10.98,-39.63,92.55,34,78,8.52
405,Bobon,PH,12.52,124.56,79.21,87,98,6.53
406,Nāngloi Jāt,IN,28.68,77.07,77.05,49,0,2.8
407,Elatia,GR,39.81,22.54,65.52,68,20,4.7
408,Prudnik,PL,50.32,17.57,47.79,96,5,3.44
409,Wardenburg,DE,53.07,8.2,55.74,90,99,7.0
410,Uddiawan,PH,16.56,121.15,73.78,84,100,1.36
411,Ippy,CF,6.27,21.22,73.74,89,100,1.74
412,NEDJO,ET,9.5,35.5,58.01,94,49,1.86
413,Goderich,CA,43.75,-81.72,43.34,83,80,14.27
414,Shām Churāsi,IN,31.5,75.75,69.48,24,0,4.25
415,Hirson,FR,49.92,4.08,55.98,59,97,8.99
416,Pungeşti,RO,46.7,27.33,57.74,93,75,1.12
417,Yamnytsya,UA,48.99,24.71,57.2,82,75,6.38
418,Orlovo,RU,51.75,39.59,51.8,71,0,1.79
419,Laem Sing,TH,12.48,102.07,75.99,87,100,6.15
420,Libreville,GA,0.39,9.45,80.6,88,40,9.17
421,Nanuque,BR,-17.84,-40.35,80.69,73,93,10.78
422,Richland Hills,US,32.82,-97.23,55.36,59,1,3.0
423,Jūybār,IR,36.64,52.91,59.0,87,0,4.7
424,Macon,US,39.87,-88.97,44.55,70,90,8.05
425,Jagalūr,IN,14.53,76.35,71.83,87,52,6.96
426,Krasnogorodskoye,RU,56.84,28.28,44.1,96,89,5.37
427,Abucay,PH,14.77,120.48,77.0,94,40,2.24
428,Bālāghāt,IN,21.8,80.18,70.95,64,13,2.28
429,Hodal,IN,27.9,77.37,82.99,3,0,3.53
430,Arnold,GB,53.0,-1.13,54.3,92,100,7.0
431,Megali Chora,GR,38.63,21.37,56.88,88,0,1.39
432,Chopinzinho,BR,-25.86,-52.52,85.62,40,56,5.77
433,Lake Ronkonkoma,US,40.84,-73.13,65.05,88,90,8.05
434,Topchikha,RU,52.82,83.12,24.8,73,75,15.66
